timestamp_utc,is_live,viewer_count,title,game,started_at,stream_id
2026-08-18T09:05:00Z,true,16,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-18T09:05:00Z,319000000001
2026-08-18T09:10:00Z,true,64,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-18T09:05:00Z,319000000001
2026-08-18T09:15:00Z,true,105,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-18T09:05:00Z,319000000001
2026-08-18T09:20:00Z,true,142,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-18T09:05:00Z,319000000001
2026-08-18T09:25:00Z,true,174,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-18T09:05:00Z,319000000001
2026-08-18T09:30:00Z,true,180,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-18T09:05:00Z,319000000001
2026-08-18T09:35:00Z,true,164,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-18T09:05:00Z,319000000001
2026-08-18T09:40:00Z,true,138,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-18T09:05:00Z,319000000001
2026-08-18T09:45:00Z,true,63,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-18T09:05:00Z,319000000001
2026-08-18T09:50:00Z,true,40,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-18T09:05:00Z,319000000001
2026-08-18T09:55:00Z,false,,,,,
2026-08-18T10:00:00Z,false,,,,,
2026-08-18T10:05:00Z,false,,,,,
2026-08-18T10:10:00Z,false,,,,,
2026-08-18T10:15:00Z,false,,,,,
2026-08-18T10:20:00Z,false,,,,,
2026-08-19T04:50:00Z,true,35,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T04:55:00Z,true,137,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T05:00:00Z,true,222,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T05:05:00Z,true,281,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T05:10:00Z,true,322,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T05:15:00Z,true,359,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T05:20:00Z,true,373,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T05:25:00Z,true,412,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T05:30:00Z,true,406,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T05:35:00Z,true,389,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T05:40:00Z,true,438,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T05:45:00Z,true,448,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T05:50:00Z,true,477,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T05:55:00Z,true,500,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T06:00:00Z,true,516,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T06:05:00Z,true,550,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T06:10:00Z,true,533,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T06:15:00Z,true,553,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T06:20:00Z,true,573,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T06:25:00Z,true,566,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T06:30:00Z,true,615,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T06:35:00Z,true,577,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T06:40:00Z,true,586,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
